question_type,emotion,answer
วิทยาศาสตร์,57,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
ความรู้ทั่วไป,43,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
คําถามเชิงอารมณ์,37,วันนี้คุณรู้สึกอย่างไร?
วิทยาศาสตร์,67,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,73,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,54,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,74,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,72,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,51,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,50,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,66,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
ความรู้ทั่วไป,96,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,96,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,93,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,70,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,88,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,80,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
คําถามเชิงอารมณ์,72,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,67,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,65,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,55,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,45,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,53,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,60,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,70,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,65,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,66,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,63,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
