id,question_type,answer
10001,วิทยาศาสตร์,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
10002,วิทยาศาสตร์,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
10003,วิทยาศาสตร์,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
10004,วิทยาศาสตร์,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
10005,วิทยาศาสตร์,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
10006,วิทยาศาสตร์,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
10007,วิทยาศาสตร์,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
10008,วิทยาศาสตร์,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
10009,วิทยาศาสตร์,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
10010,วิทยาศาสตร์,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
10011,วิทยาศาสตร์,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
10012,วิทยาศาสตร์,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
10013,วิทยาศาสตร์,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
10014,วิทยาศาสตร์,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
10015,วิทยาศาสตร์,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
20001,ความรู้ทั่วไป,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
20002,ความรู้ทั่วไป,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
20003,ความรู้ทั่วไป,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
20004,ความรู้ทั่วไป,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
20005,ความรู้ทั่วไป,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
20006,ความรู้ทั่วไป,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
20007,ความรู้ทั่วไป,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
20008,ความรู้ทั่วไป,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
20009,ความรู้ทั่วไป,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
20010,ความรู้ทั่วไป,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
20011,ความรู้ทั่วไป,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
20012,ความรู้ทั่วไป,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
20013,ความรู้ทั่วไป,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
20014,ความรู้ทั่วไป,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
20015,ความรู้ทั่วไป,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
20016,ความรู้ทั่วไป,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
20017,ความรู้ทั่วไป,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
20018,ความรู้ทั่วไป,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
30001,คําถามเชิงอารมณ์,วันนี้คุณรู้สึกอย่างไร?
30002,คําถามเชิงอารมณ์,ฉันดีใจที่ได้ช่วยเหลือคุณ
30003,คําถามเชิงอารมณ์,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
30004,คําถามเชิงอารมณ์,วันนี้คุณรู้สึกอย่างไร?
30005,คําถามเชิงอารมณ์,ฉันดีใจที่ได้ช่วยเหลือคุณ
30006,คําถามเชิงอารมณ์,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
30007,คําถามเชิงอารมณ์,วันนี้คุณรู้สึกอย่างไร?
30008,คําถามเชิงอารมณ์,ฉันดีใจที่ได้ช่วยเหลือคุณ
30009,คําถามเชิงอารมณ์,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
30010,คําถามเชิงอารมณ์,วันนี้คุณรู้สึกอย่างไร?
30011,คําถามเชิงอารมณ์,ฉันดีใจที่ได้ช่วยเหลือคุณ
30012,คําถามเชิงอารมณ์,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
30013,คําถามเชิงอารมณ์,วันนี้คุณรู้สึกอย่างไร?
30014,คําถามเชิงอารมณ์,ฉันดีใจที่ได้ช่วยเหลือคุณ
